Epoch,Samples,Mean CER,Mean CER (Norm),Mean WER,Mean WER (Norm),Mean BLEU,Mean BLEU (Norm)
230,256,7.26562,0.53249,2.89062,0.72266,0.30782,0.30782
231,256,7.42578,0.54564,2.85547,0.71387,0.32158,0.32158
232,256,7.41406,0.54493,3.14453,0.78613,0.30742,0.30742
233,256,7.42188,0.54395,3.01953,0.75488,0.31358,0.31358
234,256,7.59375,0.55798,3.22656,0.80664,0.29529,0.29529
235,256,7.47266,0.54987,3.26562,0.81641,0.28582,0.28582
236,256,7.57422,0.55670,3.29297,0.82324,0.30278,0.30278
237,256,7.60156,0.55839,3.31250,0.82812,0.27295,0.27295
238,256,7.46094,0.54901,3.21484,0.80371,0.28635,0.28635
239,256,7.53906,0.55412,3.15234,0.78809,0.29416,0.29416
240,256,7.58203,0.55696,3.16406,0.79102,0.29648,0.29648
241,256,7.42578,0.54470,2.92188,0.73047,0.30939,0.30939
242,256,7.49609,0.55191,2.83203,0.70801,0.35477,0.35477
243,256,7.43750,0.54666,3.10547,0.77637,0.31474,0.31474
244,256,7.54688,0.55533,3.10938,0.77734,0.31550,0.31550
245,256,7.47266,0.54767,3.14844,0.78711,0.29184,0.29184
246,256,7.37891,0.54219,3.25781,0.81445,0.29176,0.29176
247,256,7.07812,0.51994,2.82031,0.70508,0.36030,0.36030
248,256,7.24219,0.53123,3.02734,0.75684,0.30550,0.30550
249,256,7.17188,0.52713,2.87500,0.71875,0.34041,0.34041
250,256,7.23828,0.53171,3.08203,0.77051,0.32756,0.32756
251,256,7.24609,0.53152,2.91797,0.72949,0.29581,0.29581
252,256,7.33984,0.54041,2.73828,0.68457,0.32866,0.32866
253,256,7.25000,0.53287,2.85156,0.71289,0.32899,0.32899
254,256,7.31250,0.53639,2.84766,0.71191,0.35766,0.35766
255,256,7.23047,0.53236,2.75391,0.68848,0.34827,0.34827
256,256,7.29688,0.53632,2.78125,0.69531,0.33104,0.33104
257,256,7.26953,0.53278,2.81641,0.70410,0.34319,0.34319
258,256,7.21094,0.52985,2.85156,0.71289,0.33553,0.33553
259,256,7.22266,0.53147,2.91016,0.72754,0.33224,0.33224
260,256,7.08203,0.52053,2.79297,0.69824,0.35709,0.35709
261,256,7.40234,0.54376,3.01562,0.75391,0.36370,0.36370
262,256,7.25391,0.53377,2.83594,0.70898,0.31831,0.31831
263,256,7.19141,0.52857,2.90625,0.72656,0.33370,0.33370
264,256,7.27344,0.53429,2.78125,0.69531,0.33233,0.33233
265,256,7.11328,0.52178,2.75000,0.68750,0.33624,0.33624
266,256,7.32422,0.53926,3.01562,0.75391,0.32220,0.32220
267,256,7.41016,0.54465,2.96484,0.74121,0.32909,0.32909
268,256,7.33203,0.53736,2.94141,0.73535,0.35507,0.35507
269,256,7.21875,0.53042,3.04688,0.76172,0.33021,0.33021
270,256,7.38672,0.54355,3.00781,0.75195,0.32235,0.32235
271,256,7.22656,0.53115,3.06250,0.76562,0.31237,0.31237
272,256,7.24219,0.53199,2.93359,0.73340,0.33524,0.33524
273,256,7.28516,0.53438,3.02344,0.75586,0.33548,0.33548
274,256,7.53906,0.55508,3.05469,0.76367,0.31944,0.31944
275,256,7.54297,0.55441,3.12109,0.78027,0.31082,0.31082
276,256,7.11719,0.52161,2.91406,0.72852,0.33305,0.33305
277,256,7.35547,0.54047,2.94531,0.73633,0.35909,0.35909
278,256,7.32031,0.53866,3.00391,0.75098,0.35243,0.35243
279,256,7.17188,0.52713,2.91406,0.72852,0.35016,0.35016
280,256,7.35938,0.54060,2.96875,0.74219,0.36691,0.36691
281,256,7.18750,0.52722,2.94922,0.73730,0.34764,0.34764
282,256,7.59766,0.55939,3.21875,0.80469,0.32760,0.32760
283,256,7.15234,0.52570,2.99219,0.74805,0.33177,0.33177
284,256,7.08594,0.51932,2.88672,0.72168,0.35916,0.35916
285,256,7.28516,0.53530,3.12891,0.78223,0.35233,0.35233
286,256,7.40234,0.54407,2.93359,0.73340,0.34051,0.34051
287,256,7.11328,0.52133,3.01953,0.75488,0.34934,0.34934
288,256,7.20703,0.52956,3.12500,0.78125,0.33032,0.33032
289,256,7.20312,0.53004,2.87500,0.71875,0.35655,0.35655
290,256,6.89062,0.50646,2.85938,0.71484,0.36384,0.36384
291,256,7.21484,0.52999,2.96484,0.74121,0.37109,0.37109
292,256,7.26172,0.53266,2.94531,0.73633,0.39017,0.39017
293,256,7.45312,0.54875,2.99609,0.74902,0.36322,0.36322
294,256,7.20703,0.52972,2.93359,0.73340,0.34928,0.34928
295,256,7.41797,0.54366,3.05469,0.76367,0.38775,0.38775
296,256,7.29688,0.53617,2.96094,0.74023,0.36587,0.36587
297,256,7.21484,0.53090,2.85156,0.71289,0.37320,0.37320
298,256,7.18750,0.52828,2.90625,0.72656,0.35469,0.35469
299,256,7.41016,0.54433,2.87891,0.71973,0.39493,0.39493
300,256,7.04688,0.51691,2.85547,0.71387,0.38162,0.38162
301,256,7.03125,0.51769,2.88281,0.72070,0.39817,0.39817
